sample,array,shape,exact,max_abs,max_scaled
-3g5yACwYnA__13,text,"(15, 768)",True,0.0,0.0
-3g5yACwYnA__13,text_mask,"(15,)",True,0.0,0.0
-3g5yACwYnA__13,audio_native,"(270, 47)",True,0.0,0.0
-3g5yACwYnA__13,audio_time,"(270,)",True,0.0,0.0
-3g5yACwYnA__13,audio_cells,"(270, 2)",True,0.0,0.0
-3g5yACwYnA__13,audio_voiced,"(270,)",True,0.0,0.0
-3g5yACwYnA__13,bert_token_ids,"(20,)",True,0.0,0.0
-3g5yACwYnA__13,bert_word_membership,"(15, 20)",True,0.0,0.0
-3g5yACwYnA__13,bert_char_offsets,"(20, 2)",True,0.0,0.0
-3g5yACwYnA__13,scene_native,"(55, 512)",True,0.0,0.0
-3g5yACwYnA__13,expression_native,"(55, 52)",True,0.0,0.0
-3g5yACwYnA__13,expression_valid,"(55,)",True,0.0,0.0
-3g5yACwYnA__13,vision_time,"(55,)",True,0.0,0.0
-3g5yACwYnA__13,vision_cells,"(55, 2)",True,0.0,0.0
-3g5yACwYnA__13,vision_frame_index,"(55,)",True,0.0,0.0
-3g5yACwYnA__13,vision_bbox,"(55, 4)",True,0.0,0.0
-3g5yACwYnA__13,recovery_route,"(55,)",True,0.0,0.0
-3g5yACwYnA__13,alignment_supported,"(15,)",True,0.0,0.0
-3g5yACwYnA__13,ctc_cells,"(269, 2)",True,0.0,0.0
-3g5yACwYnA__13,word_time_membership,"(15, 269)",True,0.0,0.0
-3g5yACwYnA__13,word_start_quantiles,"(15, 3)",True,0.0,0.0
-3g5yACwYnA__13,word_end_quantiles,"(15, 3)",True,0.0,0.0
-3g5yACwYnA__13,word_audio,"(15, 97)",True,0.0,0.0
-3g5yACwYnA__13,word_audio_dim_mask,"(15, 97)",True,0.0,0.0
-3g5yACwYnA__13,word_audio_effective_seconds,"(15,)",True,0.0,0.0
-3g5yACwYnA__13,word_voiced_effective_seconds,"(15,)",True,0.0,0.0
-3g5yACwYnA__13,word_expression,"(15, 52)",True,0.0,0.0
-3g5yACwYnA__13,word_expression_mask,"(15,)",True,0.0,0.0
-3g5yACwYnA__13,word_scene,"(15, 512)",True,0.0,0.0
-3g5yACwYnA__13,word_scene_mask,"(15,)",True,0.0,0.0
-3g5yACwYnA__13,ctc_word_score,"(15,)",True,0.0,0.0
-3g5yACwYnA__13,asr_exact_match,"(15,)",True,0.0,0.0
-3g5yACwYnA__13,asr_time_gap_s,"(15,)",True,0.0,0.0
-3g5yACwYnA__13,asr_word_probability,"(15,)",True,0.0,0.0
-3g5yACwYnA__2,text,"(14, 768)",True,0.0,0.0
-3g5yACwYnA__2,text_mask,"(14,)",True,0.0,0.0
-3g5yACwYnA__2,audio_native,"(462, 47)",True,0.0,0.0
-3g5yACwYnA__2,audio_time,"(462,)",True,0.0,0.0
-3g5yACwYnA__2,audio_cells,"(462, 2)",True,0.0,0.0
-3g5yACwYnA__2,audio_voiced,"(462,)",True,0.0,0.0
-3g5yACwYnA__2,bert_token_ids,"(19,)",True,0.0,0.0
-3g5yACwYnA__2,bert_word_membership,"(14, 19)",True,0.0,0.0
-3g5yACwYnA__2,bert_char_offsets,"(19, 2)",True,0.0,0.0
-3g5yACwYnA__2,scene_native,"(93, 512)",True,0.0,0.0
-3g5yACwYnA__2,expression_native,"(93, 52)",True,0.0,0.0
-3g5yACwYnA__2,expression_valid,"(93,)",True,0.0,0.0
