sample_id,text_words,bert_subtokens,unknown_subtokens,words_with_unknown_subtokens,text_valid,supported_words,unsupported_words_with_text,native_audio_rows,native_scene_rows,native_expression_valid
-3g5yACwYnA$_$13,15,20,0,0,15,14,1,270,55,55
-3g5yACwYnA$_$2,14,19,0,0,14,11,3,462,93,93
-3g5yACwYnA$_$3,29,42,0,0,29,28,1,717,144,144
-3g5yACwYnA$_$9,23,30,0,0,23,22,1,435,88,88
-3nNcZdcdvU$_$5,18,24,0,0,18,16,2,390,79,78
-571d8cVauQ$_$0,12,18,0,0,12,10,2,250,52,50
-571d8cVauQ$_$5,43,54,0,0,43,41,2,756,152,152
-6rXp3zJ3kc$_$8,34,40,0,0,34,30,4,637,128,128
-9y-fZ3swSY$_$0,22,30,0,0,22,10,12,338,69,69
-9y-fZ3swSY$_$4,11,13,0,0,11,10,1,134,28,28
-9y-fZ3swSY$_$8,12,16,0,0,12,10,2,246,50,45
-a55Q6RWvTA$_$3,65,84,0,0,65,61,4,1105,222,222
-aNfi7CP8vM$_$7,18,25,0,0,18,14,4,427,87,87
-aqamKhZ1Ec$_$0,17,18,0,0,17,10,7,545,110,110
-AUZQgSxyPQ$_$2,41,58,0,0,41,32,9,1121,225,225
-dxfTGcXJoc$_$0,45,62,0,0,45,37,8,1021,206,160
-dxfTGcXJoc$_$1,38,44,0,0,38,35,3,801,162,162
-dxfTGcXJoc$_$2,37,42,0,0,37,31,6,832,167,167
-dxfTGcXJoc$_$6,30,34,0,0,30,26,4,632,127,127
-egA8-b7-3M$_$1,22,24,0,0,22,16,6,508,102,102
-egA8-b7-3M$_$13,11,18,0,0,11,11,0,202,42,42
-egA8-b7-3M$_$16,11,15,0,0,11,11,0,275,56,56
-egA8-b7-3M$_$17,16,21,0,0,16,16,0,355,72,72
-egA8-b7-3M$_$18,22,29,0,0,22,21,1,414,84,84
-egA8-b7-3M$_$20,20,26,0,0,20,20,0,324,66,66
-egA8-b7-3M$_$26,15,21,0,0,15,15,0,297,60,60
-egA8-b7-3M$_$6,12,15,0,0,12,12,0,310,63,63
-egA8-b7-3M$_$9,10,14,0,0,10,10,0,247,51,51
-HeZS2-Prhc$_$2,16,19,0,0,16,15,1,408,82,82
-hnBHBN8p5A$_$6,13,16,0,0,13,0,13,317,64,35
-hnBHBN8p5A$_$7,13,19,0,0,13,0,13,366,73,48
-HwX2H8Z4hY$_$2,4,8,0,0,4,3,1,196,40,12
-HwX2H8Z4hY$_$5,9,12,0,0,9,9,0,278,56,16
-HwX2H8Z4hY$_$6,7,11,0,0,7,6,1,163,33,20
-HwX2H8Z4hY$_$9,22,26,0,0,22,17,5,382,78,6
-I_e4mIh0yE$_$1,18,23,0,0,18,18,0,373,76,76
-I_e4mIh0yE$_$3,22,32,0,0,22,15,7,450,91,91
-iRBcNs9oI8$_$3,8,11,0,0,8,0,8,277,56,56
-iRBcNs9oI8$_$6,5,7,0,0,5,0,5,142,29,29
