sample_id,word_index,char_start,char_end,original_fragment,apostrophe_normalized_fragment,spoken_word,bert_positions,normalization
-3g5yACwYnA$_$13,0,0,7,They've,They've,they've,"[1, 2, 3]",lowercase / apostrophe normalization
-3g5yACwYnA$_$13,1,8,12,been,been,been,[4],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,2,13,17,able,able,able,[5],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,3,18,20,to,to,to,[6],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,4,21,25,find,find,find,[7],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,5,26,35,solutions,solutions,solutions,[8],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,6,36,38,or,or,or,[9],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,7,39,41,at,at,at,[10],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,8,42,47,least,least,least,[11],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,9,48,53,bring,bring,bring,[12],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,10,54,58,some,some,some,[13],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,11,59,66,answers,answers,answers,[14],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,12,67,69,to,to,to,[15],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,13,70,73,the,the,the,[16],lowercase / apostrophe normalization
-3g5yACwYnA$_$13,14,74,79,table,table,table,[17],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,0,0,5,We're,We're,we're,"[1, 2, 3]",lowercase / apostrophe normalization
-3g5yACwYnA$_$3,1,6,7,a,a,a,[4],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,2,8,12,huge,huge,huge,[5],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,3,13,17,user,user,user,[6],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,4,18,20,of,of,of,[7],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,5,21,30,adhesives,adhesives,adhesives,"[8, 9, 10]",lowercase / apostrophe normalization
-3g5yACwYnA$_$3,6,31,34,for,for,for,[11],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,7,35,38,our,our,our,[12],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,8,39,48,operation,operation,operation,[13],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,9,50,56,called,called,called,[15],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,10,57,65,flocking,flocking,flocking,"[16, 17]",lowercase / apostrophe normalization
-3g5yACwYnA$_$3,11,67,70,and,and,and,[19],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,12,71,73,we,we,we,[20],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,13,74,79,don't,don't,don't,"[21, 22, 23]",lowercase / apostrophe normalization
-3g5yACwYnA$_$3,14,80,84,have,have,have,[24],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,15,85,88,the,the,the,[25],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,16,89,98,technical,technical,technical,[26],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,17,99,105,inside,inside,inside,[27],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,18,106,117,compounding,compounding,compounding,"[28, 29]",lowercase / apostrophe normalization
-3g5yACwYnA$_$3,19,118,120,or,or,or,[30],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,20,121,124,the,the,the,[31],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,21,125,134,technical,technical,technical,[32],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,22,135,144,expertise,expertise,expertise,[33],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,23,145,147,to,to,to,[34],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,24,148,150,do,do,do,[35],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,25,151,156,these,these,these,[36],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,26,157,162,types,types,types,[37],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,27,163,165,of,of,of,[38],lowercase / apostrophe normalization
-3g5yACwYnA$_$3,28,166,172,things,things,things,[39],lowercase / apostrophe normalization
-3g5yACwYnA$_$2,0,0,3,Key,Key,key,[1],lowercase / apostrophe normalization
-3g5yACwYnA$_$2,1,4,11,Polymer,Polymer,polymer,[2],lowercase / apostrophe normalization
