sample_id,table_row,duration_s,container_declared_duration_s,audio_duration_s,words,supported_words,text_dim,audio_native_dim,audio_word_dim,expression_dim,scene_dim,audio_native_rows,video_native_rows,face_valid_rows,word_audio_valid,word_pitch_valid,word_expression_valid,clock_step_s,clock_rows,clock_audio_valid,clock_expression_valid,clock_text_valid,clock_audio_seconds,clock_expression_seconds,feature_file,sha256,clock_scene_valid
-3g5yACwYnA$_$13,0,5.5,8.767,5.399125,15,14,768,47,97,52,512,270,55,55,14,8,14,0.1,55,54,55,34,5.4,5.5,samples/-3g5yACwYnA__13.npz,2805b3c708fe21f437021de86d014bcf92fd0d9b47804a35c7f9c4d26eb241eb,55
-3g5yACwYnA$_$3,1,14.366666,19.273,14.327875,29,28,768,47,97,52,512,717,144,144,28,22,28,0.1,144,144,144,79,14.366666000000002,14.366666000000002,samples/-3g5yACwYnA__3.npz,b362e9d968a902b92b6f2da83b6d0bdbca3d35e0d662d58810f480ed60d8d5e1,144
-3g5yACwYnA$_$2,2,9.366666,14.234,9.2313125,14,11,768,47,97,52,512,462,93,93,11,8,11,0.1,94,93,94,32,9.3,9.366666,samples/-3g5yACwYnA__2.npz,0af6258449e553e95d482ac5bc30a0b35d3433bb614920416f5ae5067b931784,94
-3g5yACwYnA$_$9,3,8.8,16.234,8.696125,23,22,768,47,97,52,512,435,88,88,22,21,22,0.1,88,87,88,58,8.700000000000001,8.8,samples/-3g5yACwYnA__9.npz,8ac45fc8b2f66523bc6c3d8fabbc589279b2463cc1e7ec3c366739171cdf9fab,88
-3nNcZdcdvU$_$5,4,7.8666659999999995,10.937,7.7885625,18,16,768,47,97,52,512,390,79,78,16,16,16,0.1,79,78,78,52,7.800000000000001,7.800000000000001,samples/-3nNcZdcdvU__5.npz,028ca7cb31fbca1555442506c00ed531ccf94ba19f5d156f8790efee3a601cc5,79
-HwX2H8Z4hY$_$2,5,3.966666,8.151,3.9158125,4,3,768,47,97,52,512,196,40,12,3,1,2,0.1,40,40,14,6,3.966666,1.3666660000000004,samples/-HwX2H8Z4hY__2.npz,7194dae1750cba0ec9a2a76726ab23f07c3c283524858785f3776569f4feb9fe,40
-HwX2H8Z4hY$_$5,6,5.6333329999999995,11.467,5.5440625,9,9,768,47,97,52,512,278,56,16,9,8,2,0.1,57,56,20,42,5.6000000000000005,1.9333329999999993,samples/-HwX2H8Z4hY__5.npz,ce8553977d07d09a78f7817ff1a939936fe4012e123a3a1d8cc37473bed98f95,57
-HwX2H8Z4hY$_$6,7,3.3333329999999997,6.767,3.256,7,6,768,47,97,52,512,163,33,20,6,5,4,0.1,34,33,23,16,3.3000000000000003,2.2333329999999996,samples/-HwX2H8Z4hY__6.npz,53cdac6532b14e0b0f158e91b7e30f901bd5f6d0526addfe7805f835f08d4efd,34
-HwX2H8Z4hY$_$9,8,7.733333,11.434,7.6363125,22,17,768,47,97,52,512,382,78,6,17,14,1,0.1,78,77,6,38,7.7,0.6000000000000001,samples/-HwX2H8Z4hY__9.npz,5548db37d9471213ce5b02989d3265b5eab10f771c17a29a9c4613b800a3f35e,78
-NFrJFQijFE$_$1,9,5.72,9.12,5.658875,16,0,768,47,97,52,512,283,57,0,0,0,0,0.1,58,57,0,0,5.7,0.0,samples/-NFrJFQijFE__1.npz,cf38fe0520e102c3e6bfbd2aff618e1011a24dec4dadbf3350a3de84486bd955,58
-NFrJFQijFE$_$2,10,6.84,9.76,6.6983125,18,0,768,47,97,52,512,335,68,0,0,0,0,0.1,69,67,0,0,6.7,0.0,samples/-NFrJFQijFE__2.npz,19b5011272bd61226750fda9baada79382f15ba4367e14d5588503277521d2ca,69
-THoVjtIkeU$_$12,11,14.866666,18.8,14.8055625,39,37,768,47,97,52,512,741,149,149,37,26,37,0.1,149,149,149,99,14.866666000000002,14.866666000000002,samples/-THoVjtIkeU__12.npz,ba84011aa49a51ee3cd9a2479ba6cd52a3955ae174a36e9e748f3ece0c7a1684,149
-THoVjtIkeU$_$2,12,4.266666,4.644,4.230875,10,10,768,47,97,52,512,212,43,43,10,9,10,0.1,43,43,43,31,4.266666,4.266666,samples/-THoVjtIkeU__2.npz,fd75b9a6581b52cd761629efaedf37fac6669f308f5b8b9bfb6781ae62c03de1,43
-THoVjtIkeU$_$6,13,8.066666000000001,11.067,7.982875,30,23,768,47,97,52,512,400,81,81,23,21,23,0.1,81,80,81,57,8.0,8.066666000000001,samples/-THoVjtIkeU__6.npz,71e16d071aa7c19f68ad231dfcd3dbd7b26f727159953fed295f2697a9e1b6ba,81
-UuX1xuaiiE$_$1,14,10.333333000000001,13.434,10.2675,27,27,768,47,97,52,512,514,104,104,27,19,27,0.1,104,103,104,72,10.3,10.333333000000001,samples/-UuX1xuaiiE__1.npz,685c14035bf99fad91fb47ffd3ee62dbdbad13878009c8cf57372ec6c694698f,104
-UuX1xuaiiE$_$0,15,3.6999999999999997,3.7,3.575875,9,8,768,47,97,52,512,179,37,37,8,5,8,0.1,37,36,37,29,3.6,3.6999999999999997,samples/-UuX1xuaiiE__0.npz,cd31940d8d91f5e4300c783502eea1471f76776a0478b42dd5fe9534b91f978f,37
-UuX1xuaiiE$_$3,16,4.1,10.634,4.038375,9,8,768,47,97,52,512,202,41,41,8,6,8,0.1,41,41,41,23,4.1,4.1,samples/-UuX1xuaiiE__3.npz,985822c8c5e435a03235457a29db282dd7b81064bbe54ce1b02054eddb6d953e,41
-UuX1xuaiiE$_$6,17,8.100000000000001,15.234,7.9438125,23,22,768,47,97,52,512,398,81,81,22,22,22,0.1,82,80,81,57,8.0,8.1,samples/-UuX1xuaiiE__6.npz,59567f474709629adaab07b7b8f77cb2d67a7425334822a28625fbf2415f5498,81
-a55Q6RWvTA$_$3,18,22.133333,22.617,22.0833125,65,61,768,47,97,52,512,1105,222,222,61,59,61,0.1,222,221,222,173,22.1,22.133333,samples/-a55Q6RWvTA__3.npz,73ec867315d48ebfdd1e157e8a37785c3cde5234a445fca33a8ef7170ee08e08,222
-aNfi7CP8vM$_$7,19,8.666666000000001,11.334,8.5376875,18,14,768,47,97,52,512,427,87,87,14,12,14,0.1,87,86,87,56,8.6,8.666666000000001,samples/-aNfi7CP8vM__7.npz,421888d842e8eddce581a29d1dcd33df2850e28c892d5e4b4181f4829bfe3f8f,87
-aqamKhZ1Ec$_$0,20,11.0,11.0,10.8901875,17,10,768,47,97,52,512,545,110,110,10,9,10,0.1,110,109,110,37,10.9,11.0,samples/-aqamKhZ1Ec__0.npz,d575f007ad49b58af10ec270e5e3a84a0d595ba7d8fc8a7c65aa03522d4a0f80,110
-dxfTGcXJoc$_$1,21,16.133333,19.7,16.018125,38,35,768,47,97,52,512,801,162,162,35,25,35,0.1,162,161,162,122,16.1,16.133333,samples/-dxfTGcXJoc__1.npz,f24c6ba1342e1d3695180400b13d6ef4c920eb62f5b224fbff843671568c70c2,162
-dxfTGcXJoc$_$0,22,20.533333,20.534,20.410375,45,37,768,47,97,52,512,1021,206,160,37,30,30,0.1,206,205,161,137,20.5,16.033333,samples/-dxfTGcXJoc__0.npz,df83500230ea03360876f98a2efb3a1e521db8a03ca08b4270fcb13f71961702,206
-dxfTGcXJoc$_$2,23,16.666666,19.552,16.6331875,37,31,768,47,97,52,512,832,167,167,31,18,31,0.1,167,167,167,118,16.666666,16.666666,samples/-dxfTGcXJoc__2.npz,3f3555274618eb4f02a86827204e15b134bd7ce81bda1105a355f13c0a8e1af0,167
-dxfTGcXJoc$_$6,24,12.733333,12.967,12.6284375,30,26,768,47,97,52,512,632,127,127,26,14,26,0.1,128,127,128,102,12.700000000000003,12.733333000000002,samples/-dxfTGcXJoc__6.npz,af961c6de70acb7c227a4596121b9dfcd138e0843321fca0a3e4c8c5f361eb8f,128
-egA8-b7-3M$_$26,25,6.0,11.5,5.9205625,15,15,768,47,97,52,512,297,60,60,15,15,15,0.1,60,60,60,43,6.0,6.0,samples/-egA8-b7-3M__26.npz,f3ef15396e777cbf602f0660f56fadd014c9a3fed64df032a7ce2222af3cc6fb,60
-egA8-b7-3M$_$17,26,7.266666,14.0,7.09525,16,16,768,47,97,52,512,355,72,72,16,16,16,0.1,73,71,73,48,7.1000000000000005,7.266666,samples/-egA8-b7-3M__17.npz,378c46985f983f9ff4cbcc221e4984ff1894b8570387c7abf5db768a2c6abd90,73
-egA8-b7-3M$_$18,27,8.366666,13.367,8.2656875,22,21,768,47,97,52,512,414,84,84,21,20,21,0.1,84,83,84,59,8.3,8.366666,samples/-egA8-b7-3M__18.npz,d90b0233a044b89491ecf2b30dad1d7928b522126a9362c34b0a2a62494a2270,84
-egA8-b7-3M$_$16,28,5.533333,7.129,5.483,11,11,768,47,97,52,512,275,56,56,11,11,11,0.1,56,55,56,44,5.5,5.533333,samples/-egA8-b7-3M__16.npz,7c64d63a59a2f76e74d4f95a6945b957819bc37430ae7b61f75758c7f5494556,56
-egA8-b7-3M$_$13,29,4.166666,6.967,4.023875,11,11,768,47,97,52,512,202,42,42,11,11,11,0.1,42,41,42,25,4.1000000000000005,4.166666,samples/-egA8-b7-3M__13.npz,b2f1f9201d38d53ceea18919ae530cbf236768edb89707d3e4237bc1e73c58fd,42
-egA8-b7-3M$_$1,30,10.233333,11.534,10.15625,22,16,768,47,97,52,512,508,102,102,16,16,16,0.1,103,102,103,59,10.200000000000001,10.233333,samples/-egA8-b7-3M__1.npz,b577e78cc15dfea7f36ebce057b3452a3ba4ea6624a5f11d6261001e95e183df,103
-egA8-b7-3M$_$6,31,6.233333,8.035,6.183125,12,12,768,47,97,52,512,310,63,63,12,12,12,0.1,63,62,63,47,6.2,6.233333,samples/-egA8-b7-3M__6.npz,b1cab9369c0d3edb2712b0d9fdd8316f702b0545579db734552d3264add7b701,63
-egA8-b7-3M$_$9,32,5.066666,10.134,4.936125,10,10,768,47,97,52,512,247,51,51,10,10,10,0.1,51,50,51,35,5.0,5.066666,samples/-egA8-b7-3M__9.npz,d9365f447b49111e9662bd9e2caaf77a5426537ccfef01b3d151e6251aa9a6ae,51
-egA8-b7-3M$_$20,33,6.6333329999999995,14.767,6.4744375,20,20,768,47,97,52,512,324,66,66,20,19,20,0.1,67,65,67,50,6.5,6.6333329999999995,samples/-egA8-b7-3M__20.npz,ef63ff8a649359ce15d86929aa5f491e80fc333babff589a1b0d7ae406c44911,67
-iRBcNs9oI8$_$3,34,5.6056,5.84,5.53825,8,0,768,47,97,52,512,277,56,56,0,0,0,0.1,57,56,57,0,5.6000000000000005,5.6056,samples/-iRBcNs9oI8__3.npz,cbd5fd8ee55ffbd31ce313a05d1e7f9ce9aa69b3f8fac874e9a26f00adfd0992,57
-iRBcNs9oI8$_$7,35,4.070734,5.806,4.00575,9,0,768,47,97,52,512,201,41,41,0,0,0,0.1,41,41,41,0,4.070734,4.070734,samples/-iRBcNs9oI8__7.npz,9622ae204fc3cab21164c0356ada79f7a2fa64d1baf0e0e216963593f4899bc1,41
-iRBcNs9oI8$_$6,36,2.8695340000000003,7.475,2.8204375,5,0,768,47,97,52,512,142,29,29,0,0,0,0.1,29,29,29,0,2.8695340000000003,2.8695340000000003,samples/-iRBcNs9oI8__6.npz,33352137315a4daaa355345ba52c4575b6f282302f6742826f87cae285a4b636,29
-iRBcNs9oI8$_$9,37,3.4034,7.152,3.3740625,5,0,768,47,97,52,512,169,34,24,0,0,0,0.1,35,34,25,0,3.4000000000000004,2.5000000000000004,samples/-iRBcNs9oI8__9.npz,dc2cb560f7370f0eeceba2d6be011ff2d330ae582e32309df9f6b34ea0819cd7,34
-iRBcNs9oI8$_$8,38,8.074734,8.642,8.0260625,21,0,768,47,97,52,512,402,81,81,0,0,0,0.1,81,81,81,0,8.074734,8.074734,samples/-iRBcNs9oI8__8.npz,744657a3ca61ebe6b7373e9032bddf3e257813eb66c008e8a8803144c4c9de6d,81
-lzEya4AM_4$_$5,39,7.666666,7.8,7.5696875,19,18,768,47,97,52,512,379,77,77,18,15,18,0.1,77,76,77,49,7.6000000000000005,7.666666,samples/-lzEya4AM_4__5.npz,bb61d3b7d062e20986610f99eb8a5a6ad1e51421ce1b9f20b25ac7f85a591426,77
-lzEya4AM_4$_$6,40,14.766666,22.733,14.740375,43,41,768,47,97,52,512,738,148,148,41,32,41,0.1,148,148,148,111,14.766666000000003,14.766666000000003,samples/-lzEya4AM_4__6.npz,2cdfdc6a19db07ce270d8f069e6dab1e715fdef79cfec4a75959e3b6ddbff659,148
-mJ2ud6oKI8$_$1,41,6.0727340000000005,6.574,6.0545,13,0,768,47,97,52,512,303,61,0,0,0,0,0.1,61,61,0,0,6.0727340000000005,0.0,samples/-mJ2ud6oKI8__1.npz,3a2b941c51288db2f24ae6383ff46f21103554424b02aa45225cc46c06e058af,61
-mJ2ud6oKI8$_$2,42,5.7057,6.781,5.7016875,11,0,768,47,97,52,512,286,57,23,0,0,0,0.1,58,57,25,0,5.7,2.4057,samples/-mJ2ud6oKI8__2.npz,13ef463b07d45cca4a2a54f3c5b696b1a0a8201b1b9faee84a2e13d644a2ce12,58
-mJ2ud6oKI8$_$6,43,2.235567,2.648,2.228125,5,0,768,47,97,52,512,112,23,23,0,0,0,0.1,23,23,23,0,2.235567,2.235567,samples/-mJ2ud6oKI8__6.npz,24db0782f80b80408ede2ffba0795bc462d5887cfff1683dd4763c44a94432e9,23
-mJ2ud6oKI8$_$9,44,7.007000000000001,10.01,6.90875,22,0,768,47,97,52,512,346,70,70,0,0,0,0.1,71,70,71,0,7.0,7.007000000000001,samples/-mJ2ud6oKI8__9.npz,b514dca44d1a6e44d56bab8255f5857ad86869a67deb61647913aaa085a240e0,71
-mJ2ud6oKI8$_$8,45,4.171375,8.662,4.171375,11,0,768,47,97,52,512,209,42,42,0,0,0,0.1,42,42,42,0,4.171375,4.171375,samples/-mJ2ud6oKI8__8.npz,6a013971ad0a3dcb0d205c4bdf8dafb748a09df4d95686ad939550206b7fa577,42
-mqbVkbCndg$_$0,46,6.5,6.5,6.3855,14,13,768,47,97,52,512,320,65,65,13,13,13,0.1,65,64,65,40,6.4,6.5,samples/-mqbVkbCndg__0.npz,36c27bd2f01df6ae6d4326f6b92b1bc60e0437e9108951032b77a52e9eb92a7c,65
-t217m2on-s$_$2,47,5.666666,8.011,5.6301875,12,10,768,47,97,52,512,282,57,57,10,10,10,0.1,57,57,57,27,5.666666,5.666666,samples/-t217m2on-s__2.npz,bc0c84118418ce67adc19ac925d8a2b1d90c27707e94565180e355e6c93cc326,57
-t217m2on-s$_$7,48,17.166666,18.7,17.026375,45,44,768,47,97,52,512,852,172,172,44,42,44,0.1,172,171,172,118,17.1,17.166666,samples/-t217m2on-s__7.npz,10093dc660d460a785d943bafa7ff32184d2e27a87b99c3fcd03e363ea2bf6ca,172
-tANM6ETl_M$_$3,49,6.733333,9.1,6.603625,22,21,768,47,97,52,512,331,68,68,21,20,21,0.1,68,66,68,55,6.6000000000000005,6.733333,samples/-tANM6ETl_M__3.npz,a33e2c8871f92e686ba429d90a68b3de68c31500ab8901fa36f62d2698788697,68
-tPCytz4rww$_$11,50,5.466666,8.0,5.3785625,17,10,768,47,97,52,512,269,55,55,10,10,10,0.1,55,54,55,22,5.4,5.466666,samples/-tPCytz4rww__11.npz,60d33626f290977f63f8f7feaf2928a25383f636e5647205070135a879dc54c0,55
-tPCytz4rww$_$10,51,4.766666,11.734,4.6788125,12,10,768,47,97,52,512,234,48,48,10,7,10,0.1,48,47,48,22,4.7,4.766666,samples/-tPCytz4rww__10.npz,6669dd8ca1878ab29d92df7b1b5bf35ce2010fdcfecb1f5ca6f5758557bf2c52,48
-tPCytz4rww$_$12,52,11.833333000000001,18.767,11.7361875,26,18,768,47,97,52,512,587,119,119,18,18,18,0.1,119,118,119,59,11.800000000000002,11.833333000000003,samples/-tPCytz4rww__12.npz,35dd7d80a37543afbaef3ed08b74d8b8475b9131b871ee0ccadbfc298f7146c2,119
-tPCytz4rww$_$16,53,7.2,13.236,7.1391875,16,12,768,47,97,52,512,357,72,72,12,10,12,0.1,72,72,72,27,7.2,7.2,samples/-tPCytz4rww__16.npz,2453a6c657c2f533d572c01e49898af4d05570d459e21984e8c316b80ab91097,72
-tPCytz4rww$_$18,54,6.6333329999999995,14.281,6.5688125,16,14,768,47,97,52,512,329,66,66,14,14,14,0.1,67,66,67,37,6.6000000000000005,6.6333329999999995,samples/-tPCytz4rww__18.npz,d98f248713a388cf5b9333c98316d889ad05962c98c3f1169b3c4f00a6e668af,67
-vxjVxOeScU$_$4,55,9.100000000000001,11.734,9.0370625,21,18,768,47,97,52,512,452,91,91,18,15,18,0.1,92,91,91,65,9.1,9.1,samples/-vxjVxOeScU__4.npz,5d7730cc0cf48f48f389c7c11a17b3b1c826a4a09928f6a866e3a2a7decd19f2,91
-wMB_hJL-3o$_$7,56,6.033333,7.315,5.9755625,22,22,768,47,97,52,512,299,61,59,22,21,22,0.1,61,60,60,45,6.0,5.933333,samples/-wMB_hJL-3o__7.npz,49fe4df3262ff0f7ec61d7734d93fc6c5f41923f249f4d7eb1a7e1f216b87d99,61
-wny0OAz3g8$_$1,57,6.833333,9.1,6.7765625,22,21,768,47,97,52,512,339,68,68,21,20,21,0.1,69,68,69,56,6.800000000000001,6.833333,samples/-wny0OAz3g8__1.npz,f65a41678dd77b12d0165b2cd186062d67dafd6053143546ebee1414305f7e26,69
-wny0OAz3g8$_$0,58,3.3333329999999997,3.334,3.274,9,9,768,47,97,52,512,164,33,33,9,8,9,0.1,34,33,34,25,3.3000000000000003,3.3333329999999997,samples/-wny0OAz3g8__0.npz,2183cdcdea98ce70cf0689732b9445275862057b70bacfd93a0ae16b5c6b100d,34
-wny0OAz3g8$_$3,59,6.1333329999999995,11.169,6.099875,20,19,768,47,97,52,512,305,61,61,19,19,19,0.1,62,61,62,46,6.1000000000000005,6.1333329999999995,samples/-wny0OAz3g8__3.npz,378ca3480eae0c7803a24c2e0dde13cc7db3e119ed998e4ed2c5a8b9966cc7db,62
-wny0OAz3g8$_$2,60,6.666666,11.934,6.5226875,23,23,768,47,97,52,512,327,67,67,23,22,23,0.1,67,66,67,53,6.6000000000000005,6.666666,samples/-wny0OAz3g8__2.npz,8625fc9efd95cd1baaffb9da9952767e9e4e45daf7fd554c2500609d5bc218c2,67
-wny0OAz3g8$_$5,61,6.8999999999999995,9.967,6.7414375,20,20,768,47,97,52,512,338,69,69,20,19,20,0.1,69,68,69,56,6.800000000000001,6.8999999999999995,samples/-wny0OAz3g8__5.npz,31b56aa155ae5b7670dc3ed447e328550797b9e83d91a8ce6826316032576a9d,69
