run,family,stage,seed,objective,epoch,encoder_learning_rate,learning_rate,classification_weight,neutral_weight,polarity_weight,modality_dropout,uncertainty_weight,accuracy,macro_f1,mae,raw_mae
runs/q3b_native_sweep/uncertainty/b00_anchor,uncertainty,broad,17,macro_f1,5,2e-05,0.0003,0.5,0.1,0.1,0.1,0.1,0.6510989010989011,0.6322642061414013,0.5396734059204187,0.5500128865242004
runs/q3b_native_sweep/uncertainty/b01_anchor,uncertainty,broad,17,macro_f1,9,2e-05,0.0003,0.5,0.1,0.1,0.05,0.03,0.635989010989011,0.6299648880137944,0.5572828507139678,0.5690195560455322
runs/q3b_native_sweep/uncertainty/b02_wide,uncertainty,broad,17,macro_f1,6,8e-05,3e-05,0.25,3.0,0.0,0.2,0.0,0.625,0.6107810378045965,0.5957111998507242,0.606814444065094
runs/q3b_native_sweep/uncertainty/b03_wide,uncertainty,broad,17,macro_f1,2,1e-05,0.003,2.0,0.3,0.1,0.0,0.1,0.6208791208791209,0.6233996279281327,0.5685331082911269,0.5959121584892273
runs/q3b_native_sweep/uncertainty/b04_wide,uncertainty,broad,17,macro_f1,5,5e-06,0.0001,0.25,0.1,0.1,0.05,0.003,0.6346153846153846,0.623404487945666,0.5980795057347188,0.6197848320007324
runs/q3b_native_sweep/uncertainty/b05_wide,uncertainty,broad,17,macro_f1,4,5e-06,3e-05,0.05,0.1,1.0,0.1,0.003,0.6236263736263736,0.6147013513148947,0.5909802554236664,0.6073117256164551
runs/q3b_native_sweep/uncertainty/b06_wide,uncertainty,broad,17,macro_f1,8,4e-05,0.0003,4.0,1.0,2.0,0.05,1.0,0.6456043956043956,0.6364323799173626,0.5598675448509197,0.5711429119110107
runs/q3b_native_sweep/uncertainty/b07_wide,uncertainty,broad,17,macro_f1,17,2e-05,0.001,0.1,0.03,1.0,0.35,0.003,0.6373626373626373,0.6269725048527691,0.5506035648286343,0.5583546161651611
runs/q3b_native_sweep/uncertainty/b08_wide,uncertainty,broad,17,macro_f1,7,1e-05,0.0001,0.05,3.0,0.1,0.0,0.03,0.6428571428571429,0.6285477694457784,0.6303957144187374,0.652926504611969
runs/q3b_native_sweep/uncertainty/b09_wide,uncertainty,broad,17,macro_f1,8,2e-06,3e-05,0.05,0.03,0.0,0.1,0.0,0.6277472527472527,0.6127493349950083,0.5745026682309069,0.5922263860702515
runs/q3b_native_sweep/uncertainty/b10_wide,uncertainty,broad,17,macro_f1,6,2e-05,0.003,0.1,0.3,0.3,0.05,0.03,0.6277472527472527,0.6230503454710191,0.5552220131260354,0.5860183835029602
runs/q3b_native_sweep/uncertainty/b11_wide,uncertainty,broad,17,macro_f1,8,2e-06,0.0001,1.0,1.0,0.3,0.2,0.01,0.6538461538461539,0.6262169940616295,0.6295084217652404,0.6556685566902161
runs/q3b_native_sweep/uncertainty/b12_wide,uncertainty,broad,17,macro_f1,5,1e-05,0.0003,2.0,0.0,0.03,0.35,0.1,0.6387362637362637,0.6307952127492116,0.6389655843172427,0.6707395911216736
runs/q3b_native_sweep/uncertainty/b13_wide,uncertainty,broad,17,macro_f1,5,2e-06,0.003,4.0,0.1,0.3,0.5,0.01,0.6208791208791209,0.6146301945117227,0.6268401722478533,0.6534885764122009
runs/q3b_native_sweep/uncertainty/b14_wide,uncertainty,broad,17,macro_f1,5,2e-05,0.001,0.5,0.3,0.03,0.2,1.0,0.6318681318681318,0.6165959840602663,0.5782931052512404,0.5981463193893433
runs/q3b_native_sweep/uncertainty/b15_wide,uncertainty,broad,17,macro_f1,3,8e-05,0.001,0.5,0.0,0.0,0.5,0.0,0.6181318681318682,0.6083424049034997,0.5694453020651753,0.5827968120574951
runs/q3b_native_sweep/uncertainty/b16_wide,uncertainty,broad,17,macro_f1,2,4e-05,3e-05,1.0,0.0,0.03,0.0,0.3,0.6263736263736264,0.6248659508500034,0.5611943802540447,0.578630805015564
runs/q3b_native_sweep/uncertainty/b17_wide,uncertainty,broad,17,macro_f1,3,5e-06,0.0003,0.1,0.03,2.0,0.1,0.3,0.6291208791208791,0.6137276993865814,0.5816423700365064,0.6110889911651611
runs/q3b_native_sweep/uncertainty/r00_macro_f1,uncertainty,refine,17,macro_f1,2,2e-05,0.00015,4.0,1.0,2.0,0.05,1.0,0.6387362637362637,0.6230953911644311,0.5621883696661871,0.5769149661064148
runs/q3b_native_sweep/uncertainty/r01_macro_f1,uncertainty,refine,17,macro_f1,14,8e-05,0.0006,4.0,1.0,2.0,0.05,1.0,0.6098901098901099,0.6042456942658672,0.5911651961300727,0.6104552149772644
runs/q3b_native_sweep/uncertainty/r02_mae,uncertainty,refine,17,macro_f1,5,1e-05,0.00015,0.5,0.1,0.1,0.1,0.1,0.6428571428571429,0.6238978724534406,0.5635919930335864,0.5802803635597229
runs/q3b_native_sweep/uncertainty/r03_mae,uncertainty,refine,17,macro_f1,4,4e-05,0.0006,0.5,0.1,0.1,0.1,0.1,0.625,0.6240595108628999,0.5470792582481923,0.562637984752655
